materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
1,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,473.3428,
2,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,5045.1009,
3,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,4421.7551,
4,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,6921.8051,
5,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,383.341,
6,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,signifera,crinia,TRUE,FALSE,swabbing,Bd,41.6675,
7,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,signifera,crinia,TRUE,FALSE,swabbing,Bd,1985.0397,
8,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,signifera,crinia,TRUE,FALSE,swabbing,Bd,51.6677,
9,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,signifera,crinia,TRUE,FALSE,swabbing,Bd,27170.5434,
10,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,signifera,crinia,TRUE,FALSE,swabbing,Bd,2598.3853,
