site_code,reference_id,period_id,site_type_id,context_id,notes,assemblage_date
AB78L01,152,8,99,0,,
ABRID01,170,14,99,0,Abri Dufaure is one of four Late glacial sites on the cliff boarder of the Aquitane Basin.,
AGIOS01,106,2,8,0,,middle-late Neolithic
AITOS01,86,9,8,0,,Antique
AITZB01,170,14,2,0,,
AKLA001,194,2,99,0,,
ALMSL01,30,11,12,1,,1150-1275 AD
ALON001,180,4,8,0,"The Bronze Age settlement has four main phases of transformation, for which radiocarbon dating overlap: Philia period (c. 2,400-2,200 BC), which consists of four phases: A, A-1, B and B-1; EC I-II (c. 2,300-2,000 BC), also has four phases: C, C-1, D and D-1; EC III (c. 2,100—1,900 BC), with four phases: E, E-1, F and F-1; MC I-II (c. 2,000-1,700 BC), correspond to phases G and G-1 (MC I), and phases I and I-1 (MC II).  After that the site was abandoned. However, there are a few contexts for which material derived from disturbed Bronze Age layers mixed with material from either Iron Age or Medieval periods and attests of activities during those periods.",
ALON001,180,6,99,0,"The Bronze Age settlement has four main phases of transformation, for which radiocarbon dating overlap: Philia period (c. 2,400-2,200 BC), which consists of four phases: A, A-1, B and B-1; EC I-II (c. 2,300-2,000 BC), also has four phases: C, C-1, D and D-1; EC III (c. 2,100—1,900 BC), with four phases: E, E-1, F and F-1; MC I-II (c. 2,000-1,700 BC), correspond to phases G and G-1 (MC I), and phases I and I-1 (MC II).  After that the site was abandoned. However, there are a few contexts for which material derived from disturbed Bronze Age layers mixed with material from either Iron Age or Medieval periods and attests of activities during those periods.",
ALON001,180,11,99,0,"The Bronze Age settlement has four main phases of transformation, for which radiocarbon dating overlap: Philia period (c. 2,400-2,200 BC), which consists of four phases: A, A-1, B and B-1; EC I-II (c. 2,300-2,000 BC), also has four phases: C, C-1, D and D-1; EC III (c. 2,100—1,900 BC), with four phases: E, E-1, F and F-1; MC I-II (c. 2,000-1,700 BC), correspond to phases G and G-1 (MC I), and phases I and I-1 (MC II).  After that the site was abandoned. However, there are a few contexts for which material derived from disturbed Bronze Age layers mixed with material from either Iron Age or Medieval periods and attests of activities during those periods.",
ANDER01,170,14,99,0,,
AROUC01,149,4,11,0,"Arouch burials are in Ashtarak region, to the South-East of Arouch village. It is dated by the end of the III and the 1st half of the II Millennium BC.",
ASINE01,85,4,8,0,Id uncertain: ? Fallow,2000-1500 BC (MH)
ASKIL01,29,2,8,0,Recorded only as Dama sp.,8040-7490 BC
ASSOM01,126,4,99,0,Data from Yannouli & Trantalidou 1999.,3000-2000 BC
AUGUS01,105,8,12,0,"Whole book, only data tables copied.",Roman
AUSTI01,112,11,3,0,Only data from phase c. AD 1250-1400 recorded here.<br />Measurements ranges given in report but phase or details not given so not enetered on database.,1250-1400 AD
AXIOC01,61,4,11,0,Data from Yannouli & Trantalidou 1999. <br />NB. looked up original report didn't see mention of fallow.,Bronze Age
AYGA001,193,3,2,0,,
AYIAT01,119,4,8,0,,2000-1570 BC (Minoan)
AYIOS01,9,4,9,0,"The tell dates from Late Neolithic - Byzantine, but the data in this paper comes mainly from Middle Bronze age layers",1700-1400(Middle Bronze Age)
BADEM01,142,3,8,0,,Neolithic/Bronze Age
BARB001,201,13,12,0,,
BARNS01,91,8,8,0,,360-400 AD
BARTH01,38,11,12,0,,late 14th to mid 15th century AD
BELGI01,167,13,99,0,"Male Roe Deer, Belgium - ID = RB5 Belgium",
BELGI02,167,13,99,0,"Male Roe Deer, Belgium - ID = RB3 Belgium",
BELGI03,167,13,99,0,"Female Roe Deer, Belgium - ID = RB2 Belgium",
BELGI04,167,13,99,0,"Female Roe Deer, Belgium - ID = Little One/RB6 Belgium",
BELGI05,167,13,99,0,"Roe Deer, Belgium - ID = ? Belgium",
BELGI06,167,13,99,0,"Female Roe Deer, Belgium - ID = RB4",
BELGI07,167,13,99,0,"Female Roe Deer, Belgium - ID = RB1 Belgium",
BELGI08,167,13,99,0,"Female Roe Deer, Belgium - ID = RB7 Sik/Jik Belgium",
BERLI01,166,13,99,0,"From zoo. Old individual and few parts of the skeleton exhibit exostosis, which may influence osteometric analysis. Measurements that can be biased are mentioned in notes.",
BERLI02,166,13,99,0,"From zoo. Old individual and few parts of the skeleton exhibit exostosis, which may influence osteometric analysis. Measurements that can be biased are mentioned in notes.",
BERRI01,90,9,12,0,,8th to mid-11th century AD
BERRI01,90,11,12,0,,late 11th to late 13th century
BESIK01,128,4,8,0,,
BESIK01,128,6,8,0,,
BIERS01,156,12,12,0,,
BINCH01,158,11,4,0,Recovered from Roman site but radiocarbon dated to the medieval period,
BOGO001,194,3,99,0,,
BOURN01,146,13,99,0,,
BOUSS01,155,12,1,0,,
BRAMB01,118,9,1,0,,12th century AD
BRAND01,44,9,8,0,"Uncertain date, feature contained Late Saxon pottery, but the feature was shallow (25cms) therefore possibility of intrusion.",10th century AD
BREDA01,162,12,1,0,,
BREDE01,157,11,1,0,1300-1573,
BRILL01,170,14,2,0,,
BROAD01,123,11,12,3,,14th century AD
BROXM01,169,6,5,0,,
BRUCA01,25,11,8,0,,11th to 14th century AD
BUDJ001,194,2,99,0,,
CAERL01,94,11,12,0,,13th century A.D
CAFER01,29,2,8,0,Data in Asikili report.,Neolithic
CAMP001,207,8,99,0,,
CARIS01,108,9,1,0,,11th-12th century A.D
CARIS01,185,11,1,0,Medieval and Post-Medieval collection,
CARIS01,185,12,1,0,,
CARNU01,163,8,99,0,,
CASTA01,138,8,8,0,,Roman
CASTA01,196,8,99,0,,
CASTA01,207,8,99,0,,
CASTL01,77,9,1,0,"Fallow = 1.75% of the assemblage, only antler and metapodia present.<br />Report on the worked bone mentions fallow antler.",Norman
CASTL02,2,9,1,0,"Knife cutmarks interpreted as skinning marks, on midshaft.",late 11th century AD
CASTL02,2,11,1,0,,late 12th to mid-14th century AD
CASTL03,70,9,1,0,,Saxo-Norman
CASTL03,70,11,1,0,,Medieval
CASTL03,70,12,1,0,,post medieval
CATAL01,115,2,8,0,* element  recorded from the 1999 excavations.,Neolithic
CATHE01,48,9,3,0,Phases E & F enterd together as both 11th century.,11th century AD
CATSG01,49,8,13,0,,Late 2nd century
CHANI01,175,4,8,0,,
CHANI02,175,4,8,0,,
CHANI03,175,4,8,0,,
CHAP001,147,13,99,0,,
CHAP002,147,13,99,0,Epping Forest,
CHAP003,147,13,99,0,,
CHAP004,147,13,99,0,,
CHAP005,147,13,99,0,,
CHAP006,147,13,99,0,,
CHAPM01,174,13,99,0,"Many different individuals, of known age, from different parks.",
