site_code,site_name,country_code,region,location
AB78L01,"AB78, London",GBR,London,
ABRID01,Abri Dufaure,FRA,Aquitane,
AGIOS01,Agios Petros,GRC,Sporades,
AITOS01,Aitos,BGR,,
AITZB01,Aitzbitarte IV,ESP,Basque,Guipuzcoa
AKLA001,Akladi Chairi,BGR,Sozopol,
ALMSL01,Alms Lane,GBR,England,Norwich
ALON001,Alonia,CYP,,
ANDER01,Andernach,DEU,Rhineland-Palatinate,
AROUC01,Arouch,ARM,Ashtarak,
ASINE01,Asine,GRC,,
ASKIL01,Askili Hoyuk,TUR,,
ASSOM01,Assomatos,GRC,Rhodes,
AUGUS01,Augusta Raurica,CHE,,
AUSTI01,The Austin Friars,GBR,England,Leicester
AXIOC01,Axiochora,GRC,,
AYGA001,Ay Galas Cave,GRC,Chios,
AYIAT01,Ayia Triada,GRC,Crete,
AYIOS01,Ayios Mamas,GRC,,
BADEM01,Bademagaci Hoyuck,TUR,,
BARB001,Barbuda,ATG,Barbuda,
BARNS01,Barnsley Park,GBR,England,
BARTH01,Bartholomew Street,GBR,England,Newbury
BELGI01,Belgium Roe Male RB5,BEL,,
BELGI02,Belgium Roe Male RB3,BEL,,
BELGI03,Belgium Roe Female RB2,BEL,,
BELGI04,Belgium Roe Female RB6,BEL,,
BELGI05,Belgium Roe unsexed no ref,BEL,,
BELGI06,Belgium Roe Female RB4,BEL,,
BELGI07,Belgium Roe Female RB1,BEL,,
BELGI08,Belgium Roe Female RB7 Sik/Jik,BEL,,
BERLI01,Berlin Dama Mesop. Male ZMB70098,DEU,,Berlin
BERLI02,Berlin Dama Mesop. Female ZMB86280,DEU,,Berlin
BERRI01,Berrington Street,GBR,England,Hereford
BESIK01,Besik-Yassitepe,TUR,,
BIERS01,"Bier Straat, Den Haag",NLD,,
BINCH01,Binchester,GBR,England,
BOGO001,Bogorovo,BGR,,
BOURN01,Bournemouth University ref. collecton,GBR,Unknown,Unknown
BOUSS01,Boussu,BEL,,
BRAMB01,Bramber Castle,GBR,England,
BRAND01,Brandon Road,GBR,England,Thetford
BREDA01,Breda Castle,NLD,Noord-Brabant,Breda
BREDE01,Brederode Castle,NLD,,
BRILL01,Brillenhohle,DEU,Swabian Jura,Blaubeuren
BROAD01,Broad Street,GBR,England,Abingdon
BROXM01,Broxmouth,GBR,Scotland,West Lothian
BRUCA01,Brucato,ITA,Sicily,
BUDJ001,Budjaka,BGR,Sozopol,
CAERL01,Caerleon,GBR,Wales,
CAFER01,Cafer H&#246;y&#252;k,TUR,,
CAMP001,Campanio,ITA,Sicily,
CARIS01,Carisbrooke Castle,GBR,England,Isle of Wight
CARNU01,Carnuntum-Mühläcker,AUT,,
CASTA01,Castanga,ITA,Sicily,Castanga
CASTL01,Castle Acre Castle,GBR,England,
CASTL02,Castle Mall,GBR,England,Norwich
CASTL03,Castle Rising,GBR,England,Kings Lynn
CATAL01,Catal h&#246;y&#252;k,TUR,,
CATHE01,Cathedral precincts,GBR,England,Canterbury
CATSG01,Catsgore,GBR,England,
CHANI01,Chania (GSE),GRC,Crete,
CHANI02,Chania (Daskaloyannis/Khaniamou),GRC,Crete,
CHANI03,Chania (Mathioudaki),GRC,Crete,
CHAP001,Chapman Coll. Dama Female 200 (9 yrs +),GBR,England,Surrey
CHAP002,Chapman Coll. Dama Male 120 (47 mths),GBR,,Epping Forest
CHAP003,Chapman Coll. Dama Male 211 (5ys 8 mths),GBR,,Richmond Park
CHAP004,Chapman Coll. Dama Female 209 (7yr6mths),GBR,,Epping Forest
CHAP005,Chapman Coll. Dama Female 218 (3 years),GBR,,Epping Forest
CHAP006,Chapman Coll. Dama Female 233 (3yr8mths),GBR,,Epping Forest
CHAPM01,Chapman antler collection,GBR,,
CHART01,Chartres,FRA,,
CHAS001,Chassenon,FRA,,
CHEAP01,Cheap Street,GBR,England,Newbury
CHEDD01,Cheddar Palaces,GBR,England,
CHEDD02,Cheddar Palace (re-analysed 2000),GBR,England,Somerset
CHEDD03,Cheddar Palaces (re-analysed 2012),GBR,,
CHELM01,Chelm's Combe,GBR,Somerset,Cheddar
CHER001,Chernomorets,BGR,,
CHEWV01,Chew Valley Lake,GBR,England,Somerset
CHMIE01,Chmielewo,POL,Poland,north-east
CITIZ01,Citizen House,GBR,England,Bath
COMBE01,Combe Grenal,FRA,,Dordogne
CORN001,Cornmarket,IRL,Ireland,
COWDR01,Cowdrey's Down,GBR,England,
CUCKO01,Cuckoo Lane,GBR,England,Southampton
DEMIR01,Demircih&#252;y&#252;k,TUR,,
DIMIT01,Dimitra,GRC,,
DJADO01,Djadovo,BGR,,
DOILL01,Doilly Castle,GBR,England,Ascot
DOMPL01,Domplatz,DEU,,
DONEG01,Donegal Red Male TB015,IRL,Donegal,
DONEG02,Donegal Red Female TB016,IRL,Donegal,
DONEG03,Donegal Red Female TB017,IRL,Donegal,
DONEG04,Donegal Red Female TB019,IRL,Donegal,
DONEG05,Donegal Red Male TB/JH,IRL,Donegal,
DONEG06,Donegal Red Female Churchill,IRL,Donegal,
DONEG07,Donegal Red Male TB002,IRL,Donegal,
DONEG08,Donegal Red Male TB011,IRL,Donegal,
DONEG09,Donegal Red TB004,IRL,Donegal,
DONEG10,Donegal Red Male TB007,IRL,,
DONEG11,Donegal Red Male TB010,IRL,,
DONEG12,Donegal Red Male TB012,IRL,,
DONEG13,Donegal Red Male TB013,IRL,,
DONEG14,Donegal Red Male TB014,IRL,,
DONEG15,Donegal Red Female TB018,IRL,,
DONEG16,Donegal Red Male TB030,IRL,,
DONEG17,Donegal Red Male Classy 6/10/00,IRL,,
DONEG18,Donegal Red Male 1/10/99,IRL,,
DONEG19,Donegal Red Male 24/10/1999,IRL,,
DONEG20,Donegal Red Male no ref.,IRL,,
DONEG21,Donegal Red Male TB001,IRL,,
DONEG22,Donegal Red Male TB003,IRL,,
DONEG23,Donegal Red Male TB005,IRL,,
DONEG24,Donegal Red Male TB006,IRL,,
DONEG25,Donegal Red Male TB008,IRL,,
DONEG26,Donegal Red Male TB009,IRL,,
DORCH01,Dorchester-on-Thames,GBR,England,
DUDLE01,Dudley Castle,GBR,England,
DURRI01,Durrington Walls,GBR,England,Wiltshire
EASTK01,East Kent Access Road,GBR,,
ELWA001,El-Wad terrace,ISR,,
EMPOR01,Emporio,GRC,Chios,
EXETE01,Exeter,GBR,England,
EYNSH01,Eynsham Abbey,GBR,England,
EZERO01,Ezero,BGR,,
FACCO01,Faccombe Netherton,GBR,England,
FENNI01,Fenning's Wharf,GBR,England,London
FIKIR01,Fikirtepe,TUR,,
FISHB01,Fishbourne Palace,GBR,England,Sussex
FOXCO01,Foxcotte,GBR,England,
FRANK01,Frankfurt Dama Mesop Male SMF58423,DEU,,
FRANK02,Frankfurt Dama Mesop Male SMF91467,DEU,,
FRANK03,Frankfurt Dama Mesop Female SMF91466,DEU,,
GARED01,Gare de Couze,FRA,,Dordogne
GEIEN01,Geißenklösterle,DEU,Swabian Alb,
GEORG01,George Street,GBR,England,Aylesbury
GOLJA01,Goljamo-Delcevo,BGR,,
GOLTH01,Goltho,GBR,England,
GOLTH02,Goltho (re-analysed 2010),GBR,England,Lincolnshire
GORTY01,Gortys,GRC,Crete,
GRAVI01,Gravina,ITA,,
GREEN01,Greencastle,IRL,,Co. Down
GUILD01,Guildford Castle,GBR,England,Guildford
GULPI01,Gulpinar,TUR,,
HAMAL01,The Hamal,GBR,England,Oxford
HAREC01,Hare Court,GBR,England,
HAYME01,Haymes,GBR,England,
HEFZ001,Hefzibah,ISR,,
HENLE01,Henley Wood,GBR,England,
HIGHP01,High Pasture Cave,GBR,Scotland,Skye
HOHLE01,Hohler Stein,DEU,Westfalia,
HOYUC01,Hoyucek,TUR,s.w. turkey,
HUNG001,Hungate,GBR,England,York
